id_albergue,municipio,estado
1,Tijuana,Baja California
3,Tijuana,Baja California
4,Tijuana,Baja California
6,Mexicali,Baja California
10,Agua Prieta,Sonora
15,Ojinaga,Chihuahua
21,Nuevo Laredo,Tamaulipas
24,Victoria,Tamaulipas
22,Reynosa,Tamaulipas
9,Nogales,Sonora
11,Hermosillo,Sonora
13,Juárez,Chihuahua
16,Ojinaga,Chihuahua
12,Juárez,Chihuahua
18,San Juan de Sabinas,Coahuila
19,Allende,Coahuila
25,Tampico,Tamaulipas
2,Tijuana,Baja California
23,Matamoros,Tamaulipas
7,San Luis Río Colorado,Sonora
8,Nogales,Sonora
14,Juárez,Chihuahua
5,Mexicali,Baja California
17,San Juan de Sabinas,Coahuila
20,El Carmen,Nuevo León
