Entidad,Municipio,Capacidad,Latitud,Longitud,Responsable
Aguascalientes,Aguascalientes,120,21.8853,-102.2916,María López
Baja California,Tijuana,200,32.5149,-117.0382,Juan Pérez
Baja California Sur,La Paz,80,24.1426,-110.3128,Lucía Torres
Campeche,Campeche,60,19.8301,-90.5349,Pedro Ramírez
Chiapas,Tuxtla Gutiérrez,150,16.7531,-93.1156,Andrea Ruiz
Chihuahua,Chihuahua,170,28.6353,-106.0889,Roberto Díaz
Coahuila,Torreón,110,25.5394,-103.4483,Elena Gómez
Colima,Colima,50,19.2433,-103.7250,Manuel Herrera
Durango,Durango,90,24.0277,-104.6532,Patricia Vargas
Guanajuato,León,130,21.1222,-101.6841,Raúl Castro
Guerrero,Acapulco,140,16.8531,-99.8237,Laura Morales
Hidalgo,Pachuca,100,20.1011,-98.7591,Diego Flores
Jalisco,Guadalajara,210,20.6597,-103.3496,Silvia Jiménez
México,Toluca,180,19.2826,-99.6557,Alberto Ríos
Michoacán,Morelia,160,19.7008,-101.1860,Daniela Soto
Morelos,Cuernavaca,70,18.9242,-99.2216,Óscar Méndez
Nayarit,Tepic,55,21.5058,-104.8940,Paola Salinas
Nuevo León,Monterrey,220,25.6866,-100.3161,Jesús Navarro
Oaxaca,Oaxaca,125,17.0732,-96.7266,Verónica Peña
Puebla,Puebla,190,19.0414,-98.2063,Martín Cabrera
Querétaro,Querétaro,105,20.5888,-100.3899,Isabel Castillo
Quintana Roo,Cancún,115,21.1619,-86.8515,Tomás Aguirre
San Luis Potosí,San Luis Potosí,95,22.1565,-100.9855,Gloria Paredes
Sinaloa,Culiacán,135,24.8091,-107.3940,Emilio Lozano
Sonora,Hermosillo,175,29.0729,-110.9559,Marina Cordero
Tabasco,Centro,85,17.9869,-92.9303,René Bautista
Tamaulipas,Reynosa,145,26.0924,-98.2770,Claudia Ponce
Tlaxcala,Tlaxcala,65,19.3139,-98.2416,Samuel Vela
Veracruz,Veracruz,155,19.1738,-96.1342,Leticia Bravo
Yucatán,Mérida,185,20.9674,-89.5926,Ángel Serrano
Zacatecas,Zacatecas,75,22.7709,-102.5832,Valeria Medina
Ciudad de México,Venustiano Carranza,230,19.4363,-99.0721,Esteban Solís
Estado de México,Ecatepec,240,19.6011,-99.0506,Jimena Figueroa
Jalisco,Zapopan,125,20.7236,-103.3848,Bruno Carrillo
Puebla,Tehuacán,100,18.4616,-97.3925,Marisol Duarte
Veracruz,Coatzacoalcos,120,18.1500,-94.4367,Erick Zamora
Chiapas,Tapachula,130,14.9006,-92.2578,Karina Espinoza
Nuevo León,San Nicolás,140,25.7492,-100.2886,Adrián Molina
Guanajuato,Irapuato,110,20.6767,-101.3563,Teresa Luna
Michoacán,Uruapan,90,19.4136,-102.0643,Francisco Rivera
