Estados,Repatriados
Alabama,1200
Alaska,300
Arizona,5400
Arkansas,950
California,15000
Colorado,2100
Connecticut,400
Delaware,250
Florida,8200
Georgia,3900
Hawaii,120
Idaho,600
Illinois,4700
Indiana,1300
Iowa,800
Kansas,900
Kentucky,1100
Louisiana,1700
Maine,200
Maryland,950
Massachusetts,700
Michigan,2100
Minnesota,950
Mississippi,800
Missouri,1200
Montana,350
Nebraska,400
Nevada,1800
New Hampshire,180
New Jersey,1200
New Mexico,2200
New York,2500
North Carolina,3200
North Dakota,150
Ohio,2100
Oklahoma,1300
Oregon,900
Pennsylvania,1800
Rhode Island,120
South Carolina,1700
South Dakota,200
Tennessee,1700
Texas,18000
Utah,800
Vermont,90
Virginia,2100
Washington,1700
West Virginia,120
Wisconsin,900
Wyoming,100
