"id_registro","id_tipo_registro","numero_hombres","numero_mujeres","numero_ninos","numero_lgbt","numero_no_nacidos_mexico","identificador_autobus","id_albergue","id_usuario_captura","fecha_registro"
5,1,2,1,0,0,0,"1",2,6089341,2025-01-27 00:00:00.000
6,1,48,2,1,0,0,"4",2,6089341,2025-01-27 00:00:00.000
7,1,1,0,0,0,0,,17,6051702,2025-01-27 00:00:00.000
8,2,1,0,0,0,0,,17,6051702,2025-01-27 00:00:00.000
9,1,0,1,0,0,0,,2,6051702,2025-01-27 00:00:00.000
10,1,1,0,0,0,0,,2,6051702,2025-01-27 00:00:00.000
11,2,1,0,0,0,0,,2,2666508,2025-01-27 00:00:00.000
12,1,1,0,0,0,0,,2,2666508,2025-01-27 00:00:00.000
13,2,4,0,0,0,0,,2,2666508,2025-01-27 00:00:00.000
14,2,40,3,0,0,0,,2,2666508,2025-01-27 00:00:00.000
15,1,13,0,0,0,0,"1",2,6089341,2025-01-28 10:31:12.895
16,1,1,1,1,0,0,"1",2,6089341,2025-01-28 15:16:54.464
17,1,50,0,0,0,0,"1",2,6089341,2025-01-28 21:22:49.167
18,1,7,0,0,0,0,,2,6089341,2025-01-29 10:04:49.909
19,1,48,9,1,0,0,,2,6089341,2025-01-29 14:32:23.942
20,1,31,0,0,0,0,"1",2,6089341,2025-01-30 12:52:32.947
21,1,10,0,0,0,0,"1",2,6089341,2025-01-30 12:53:19.571
22,1,296,17,13,0,0,,7,6124202,2025-01-30 15:59:17.395
23,2,287,12,7,0,0,,7,6124202,2025-01-30 16:00:35.228
24,1,3,0,0,0,0,,7,6124202,2025-01-31 12:36:33.692
25,2,4,0,0,0,0,,7,6124202,2025-01-31 12:41:44.317
26,1,90,12,0,0,0,,2,6089341,2025-01-31 15:18:42.071
27,1,3,0,0,0,0,,7,6124202,2025-02-01 12:40:41.224
28,2,5,0,0,0,0,,7,6124202,2025-02-01 12:41:03.594
29,2,2,0,0,0,0,,7,6124202,2025-02-01 12:49:09.155
30,1,4,0,0,0,0,,7,6124202,2025-02-01 16:01:00.602
31,2,3,0,0,0,0,,7,6124202,2025-02-01 16:01:26.562
32,1,1,4,4,0,0,,7,6124202,2025-02-02 10:51:16.285
33,2,2,8,8,0,0,,7,6124202,2025-02-02 10:52:25.273
34,2,2,0,0,0,0,,7,6124202,2025-02-03 13:12:25.362
35,1,1,0,0,0,0,,7,6124202,2025-02-03 18:05:13.917
36,1,2,1,2,0,0,,7,6124202,2025-02-03 18:07:05.582
37,2,4,2,4,0,0,,7,6124202,2025-02-03 18:08:02.337
38,1,2,3,1,0,0,,7,6124202,2025-02-04 12:22:02.186
39,1,1,0,0,0,0,,7,6124202,2025-02-04 13:27:02.320
40,2,2,2,0,0,0,,7,6124202,2025-02-04 13:29:44.248
41,1,5,2,0,0,0,,8,6089336,2025-02-04 13:56:02.991
42,1,0,1,0,0,0,,8,6089336,2025-02-04 15:32:47.454
43,1,2,2,0,0,0,,7,6124202,2025-02-04 16:24:47.765
44,2,2,2,0,0,0,,7,6124202,2025-02-04 16:40:28.337
45,1,47,0,0,0,0,,8,6089336,2025-02-04 18:35:27.869
46,1,2,1,0,0,0,,8,6089336,2025-02-04 19:27:23.441
47,1,59,5,0,0,0,,2,6092647,2025-02-05 06:47:55.399
48,2,0,1,1,0,0,,7,6124202,2025-02-05 12:13:36.725
49,1,1,0,0,0,0,,8,6089336,2025-02-05 12:17:46.033
50,1,59,5,0,0,0,,2,6092647,2025-02-05 15:37:23.849
51,2,316,29,3,0,0,,2,6092647,2025-02-05 15:45:04.780
52,1,0,1,0,0,0,,2,6092647,2025-02-05 15:46:55.863
