Estados,Repatriaciones
Aguascalientes,1200
Baja California,5400
Baja California Sur,800
Campeche,600
Chiapas,3200
Chihuahua,4700
Coahuila,3900
Colima,400
Durango,950
Estado de México,15000
Guanajuato,2100
Guerrero,1700
Hidalgo,1300
Jalisco,2500
Michoacán,2100
Morelos,900
Nayarit,700
Nuevo León,2200
Oaxaca,3900
Puebla,4700
Querétaro,1100
Quintana Roo,900
San Luis Potosí,1300
Sinaloa,1800
Sonora,2100
Tabasco,1700
Tamaulipas,18000
Tlaxcala,800
Veracruz,8200
Yucatán,950
Zacatecas,1200
Ciudad de México,2500
